,DATE,TEAM-A,RESULT,TEAM-B
404,02-02-2025,Osasuna,2 - 1,Sociedad
405,24-01-2025,Las Palmas,1 - 1,Osasuna
406,19-01-2025,Osasuna,1 - 1,Vallecano
407,12-01-2025,Ath Madrid,1 - 0,Osasuna
408,21-12-2024,Osasuna,1 - 2,Ath Bilbao
409,14-12-2024,Espanol,0 - 0,Osasuna
410,08-12-2024,Osasuna,2 - 2,Alaves
411,02-12-2024,Sevilla,1 - 1,Osasuna
412,24-11-2024,Osasuna,2 - 2,Villarreal
413,09-11-2024,Real Madrid,4 - 0,Osasuna
414,02-11-2024,Osasuna,1 - 0,Valladolid
415,27-10-2024,Sociedad,0 - 2,Osasuna
416,19-10-2024,Osasuna,1 - 2,Betis
417,05-10-2024,Getafe,1 - 1,Osasuna
418,24-09-2024,Valencia,0 - 0,Osasuna
419,21-09-2024,Osasuna,2 - 1,Las Palmas
420,16-09-2024,Vallecano,3 - 1,Osasuna
421,29-08-2024,Girona,4 - 0,Osasuna
422,24-08-2024,Osasuna,1 - 0,Mallorca
423,17-08-2024,Osasuna,1 - 1,Leganes
424,24-05-2025,Real Madrid,2 - 0,Sociedad
425,18-05-2025,Sevilla,0 - 2,Real Madrid
426,14-05-2025,Real Madrid,2 - 1,Mallorca
427,23-04-2025,Getafe,0 - 1,Real Madrid
428,20-04-2025,Real Madrid,1 - 0,Ath Bilbao
429,13-04-2025,Alaves,0 - 1,Real Madrid
430,05-04-2025,Real Madrid,1 - 2,Valencia
431,15-03-2025,Villarreal,1 - 2,Real Madrid
432,09-03-2025,Real Madrid,2 - 1,Vallecano
433,01-03-2025,Betis,2 - 1,Real Madrid
434,23-02-2025,Real Madrid,2 - 0,Girona
435,15-02-2025,Osasuna,1 - 1,Real Madrid
436,08-02-2025,Real Madrid,1 - 1,Ath Madrid
437,01-02-2025,Espanol,1 - 0,Real Madrid
438,03-01-2025,Valencia,1 - 2,Real Madrid
439,04-12-2024,Ath Bilbao,2 - 1,Real Madrid
440,01-12-2024,Real Madrid,2 - 0,Getafe
441,26-10-2024,Real Madrid,0 - 4,FC Barcelona
442,19-10-2024,Celta,1 - 2,Real Madrid
